Initiating user,Date entered,First Name:,Last Name:,Convo,Follow-Up? Yes/No,Tags,RACount,TotalCount,corrected_convo,trimmed_convo,Academics,Campus/Community Involvement,Friends/Family/Relationships,Goal Setting/Career Planning,Finances,Mental Health,Social Justice,value,confidence,happiness_score
RA5,"April 15, 2021, 09:28 PM",G,32,made friends outside of the dorm due to being in the military,No,Friends/Family/Relationships,22,33,made friends outside of the dorm due to being in the military,made friend outside dorm due military,False,False,True,False,False,False,False,POSITIVE,0.9985033273696899,0.9985033273696899
RA5,"April 15, 2021, 09:31 PM",H,33,didn't set any goals this semester,No,Goal Setting/Career Planning,23,34,didn't set any goals this semester,set goal semester,False,False,False,True,False,False,False,NEGATIVE,0.9994440674781799,0.0005559325218200684
RA5,"April 15, 2021, 09:32 PM",I,34,he joined a business fraternity this semester,No,Campus/Community Involvement,24,35,he joined a business fraternity this semester,joined business fraternity semester,False,True,False,False,False,False,False,POSITIVE,0.9676688313484192,0.9676688313484192
RA5,"April 15, 2021, 09:35 PM",J,35,"he's ready to head home, being alone hits hard.",No,Mental Health,25,36,"he's ready to head home, being alone hits hard.",ready head home alone hit hard,False,False,False,False,False,True,False,POSITIVE,0.9947351217269897,0.9947351217269897
RA5,"April 15, 2021, 09:36 PM",K,36,overly stressed and needs a break,No,Mental Health,26,37,overly stressed and needs a break,overly stressed need break,False,False,False,False,False,True,False,NEGATIVE,0.9996678829193115,0.00033211708068847656
RA5,"April 15, 2021, 09:37 PM",L,37,i was told classes went pretty well,No,Academics,27,38,i was told classes went pretty well,class went pretty well,True,False,False,False,False,False,False,POSITIVE,0.9817449450492859,0.9817449450492859
RA5,"April 15, 2021, 09:39 PM",M,38,"did well in classes, but 20 credits was a lot to take",No,Academics,28,39,"did well in classes, but 20 credits was a lot to take",well class 20 credit lot take,True,False,False,False,False,False,False,NEGATIVE,0.799079418182373,0.20092058181762695
RA5,"April 15, 2021, 09:41 PM",N,39,classes were pretty good this semester,No,Academics,29,40,classes were pretty good this semester,class pretty good semester,True,False,False,False,False,False,False,POSITIVE,0.9463996291160583,0.9463996291160583
RA5,"April 15, 2021, 09:42 PM",O,40,working towards getting his gpa above a 3.0,No,Goal Setting/Career Planning,30,41,working towards getting his ga above a 3.0,working towards getting ga 3 0,False,False,False,True,False,False,False,POSITIVE,0.9929922819137573,0.9929922819137573
RA5,"April 15, 2021, 09:44 PM",P,41,"made a lot of new friends this semester, just not in the dorm",No,Friends/Family/Relationships,31,42,"made a lot of new friends this semester, just not in the dorm",made lot new friend semester dorm,False,False,True,False,False,False,False,NEGATIVE,0.6001151204109192,0.3998848795890808
RA5,"April 18, 2021, 04:54 PM",Q,42,"hoping to have a better sophomore year, classes went okay though",No,Academics,32,43,"hoping to have a better sophomore year, classes went okay though",hoping better sophomore year class went okay though,True,False,False,False,False,False,False,NEGATIVE,0.9793745875358582,0.020625412464141846
RA5,"April 18, 2021, 04:55 PM",R,43,he made a ton of friends on the floor and a lot more in the fraternity he joined,No,Friends/Family/Relationships,33,44,he made a ton of friends on the floor and a lot more in the fraternity he joined,made ton friend floor lot fraternity joined,False,False,True,False,False,False,False,POSITIVE,0.995016872882843,0.995016872882843
RA2,"April 27, 2021, 09:42 PM",S,44,we talked about classes and his upcoming tests he said that he is planning on taking his exams here. overall his classes are going fine.,No,"Academics, Campus/Community Involvement",1,45,we talked about classes and his upcoming tests he said that he is planning on taking his exams here. overall his classes are going fine.,class upcoming test planning taking exam overall class going fine,True,True,False,False,False,False,False,POSITIVE,0.9634944796562195,0.9634944796562195
RA2,"April 27, 2021, 09:45 PM",T,45,he was working on some homework and he said that his classes were going well. we talked about overwatch and the heroes that we play.,No,"Academics, Campus/Community Involvement, Other/Add Theme",2,46,he was working on some homework and he said that his classes were going well. we talked about overwatch and the heroes that we play.,working homework class going well overwatch hero play,True,True,False,False,False,False,False,POSITIVE,0.9862035512924194,0.9862035512924194
RA2,"April 27, 2021, 09:47 PM",U,46,he said that he is doing well and has some work to get done this week but for the most part he said classes are going good.,No,Campus/Community Involvement,3,47,he said that he is doing well and has some work to get done this week but for the most part he said classes are going good.,well ha work get done week part class going good,False,True,False,False,False,False,False,POSITIVE,0.9321661591529846,0.9321661591529846
RA2,"April 27, 2021, 09:52 PM",W,48,we talked in the hall briefly he was coming back from the dinning hall. he said he is doing good and waiting for finals to start coming around.,No,Academics,5,49,we talked in the hall briefly he was coming back from the winning hall. he said he is doing good and waiting for finals to start coming around.,hall briefly coming back winning hall good waiting final start coming around,True,False,False,False,False,False,False,POSITIVE,0.9539347887039185,0.9539347887039185
RA2,"April 27, 2021, 09:54 PM",X,49,he was coming back from work. he is working as a im yellow shirt for the corec and said he had his first game. he said that the jobs is pretty easy and he for the most part enjoys it.,No,"Campus/Community Involvement, Friends/Family/Relationships",6,50,he was coming back from work. he is working as a im yellow shirt for the core and said he had his first game. he said that the jobs is pretty easy and he for the most part enjoys it.,coming back work working im yellow shirt core first game job pretty easy part enjoys,False,True,True,False,False,False,False,POSITIVE,0.9957387447357178,0.9957387447357178
RA2,"April 27, 2021, 09:56 PM",Y,50,we talked about his classes he is in undecided and was considering engineering and is moving forward as he try's to figure out what he should take next year.,No,"Academics, Campus/Community Involvement",7,51,we talked about his classes he is in undecided and was considering engineering and is moving forward as he try's to figure out what he should take next year.,class undecided considering engineering moving forward try figure take next year,True,True,False,False,False,False,False,POSITIVE,0.9771038889884949,0.9771038889884949
RA2,"April 27, 2021, 09:58 PM",Z,51,he had applied for the ra position and i asked how it worked out for him. unfortunately he was not selected. i told him not to worry too much because there are a lot of applicants and that he should try again the next year.,No,Goal Setting/Career Planning,8,52,he had applied for the ra position and i asked how it worked out for him. unfortunately he was not selected. i told him not to worry too much because there are a lot of applicants and that he should try again the next year.,applied ra position worked unfortunately selected worry much lot applicant try next year,False,False,False,True,False,False,False,NEGATIVE,0.9525635242462158,0.04743647575378418
RA4,"May 1, 2021, 06:02 PM",A,52,a and i discussed his course load over the second half of the semester. while they were difficult he said that they were going ok which was good. i wished him luck on upcoming exams and let him know to reach out if he ever needed anything,No,Academics,3,53,a and i discussed his course load over the second half of the semester. while they were difficult he said that they were going ok which was good. i wished him luck on upcoming exams and let him know to reach out if he ever needed anything,course load second half semester difficult going ok good wished luck upcoming exam let know reach ever needed anything,True,False,False,False,False,False,False,POSITIVE,0.9181370735168457,0.9181370735168457
RA4,"May 1, 2021, 06:04 PM",B,53,"i stopped by b's room to talk about the bayern psg game today, and was disappointed to see that we lost. i asked him about how we lost and what went wrong so that was a fun convo to have. i also checked in with him regarding classes and everything else that he's been doing and was glad to hear that he was doing well.",No,"Academics, Other/Add Theme",4,54,"i stopped by b's room to talk about the bayern psg game today, and was disappointed to see that we lost. i asked him about how we lost and what went wrong so that was a fun convoy to have. i also checked in with him regarding classes and everything else that he's been doing and was glad to hear that he was doing well.",stopped b room bayern psg game today disappointed see lost lost went wrong fun convoy also checked regarding class everything else glad hear well,True,False,False,False,False,False,False,POSITIVE,0.9864870309829712,0.9864870309829712
RA4,"May 1, 2021, 06:06 PM",C,54,"c and i talked about his involvement with the cs and physics departments. he got an opportunity to do some research which was super cool, and he said it's gone a long way towards his career planning. i was also happy to hear that his classes were improving as well!",No,"Academics, Goal Setting/Career Planning",5,55,"c and i talked about his involvement with the cs and physics departments. he got an opportunity to do some research which was super cool, and he said it's gone a long way towards his career planning. i was also happy to hear that his classes were improving as well!",c involvement c physic department got opportunity research super cool gone long way towards career planning also happy hear class improving well,True,False,False,True,False,False,False,POSITIVE,0.9686703681945801,0.9686703681945801
RA4,"May 1, 2021, 06:11 PM",D,55,"as i've mentioned before, d is in the college of pharmacy and has been kicking butt. he has a perfect 4.0 gpa and is hoping to maintain that throughout this semester. even though he's not sure how it'll finish up, he's in a good place to do just that which is super dope. finally, we talked about career planning and pharmacy.",No,"Academics, Goal Setting/Career Planning",6,56,"as i've mentioned before, d is in the college of pharmacy and has been kicking butt. he has a perfect 4.0 ga and is hoping to maintain that throughout this semester. even though he's not sure how it'll finish up, he's in a good place to do just that which is super dope. finally, we talked about career planning and pharmacy.",college pharmacy ha kicking butt ha perfect 4 0 ga hoping maintain throughout semester even though sure finish good place super dope finally career planning pharmacy,True,False,False,True,False,False,False,POSITIVE,0.9991355538368225,0.9991355538368225
RA4,"May 1, 2021, 06:12 PM",E,56,i got in touch with e regarding the end of his freshman year and if he was happy with how it went. he's on track to finish with all a's and b's which is super impressive and i told him to keep up the good work.,No,Academics,7,57,i got in touch with e regarding the end of his freshman year and if he was happy with how it went. he's on track to finish with all a's and b's which is super impressive and i told him to keep up the good work.,got touch e regarding end freshman year happy went track finish b super impressive keep good work,True,False,False,False,False,False,False,POSITIVE,0.9988669157028198,0.9988669157028198
RA4,"May 1, 2021, 06:15 PM",F,57,"dj and i talked about his upcoming finals and whether he thought they'd be hard or not. although he's not super stressed, he's definitely excited to be done with them here in a couple weeks. he also headed off to texas this past weekend to watch some races so i thought that was pretty cool. i also helped him move his tv out to his car, since he wanted to start packing up a bit early.",No,"Academics, Other/Add Theme",8,58,"dj and i talked about his upcoming finals and whether he thought they'd be hard or not. although he's not super stressed, he's definitely excited to be done with them here in a couple weeks. he also headed off to texas this past weekend to watch some races so i thought that was pretty cool. i also helped him move his tv out to his car, since he wanted to start packing up a bit early.",dj upcoming final whether thought hard although super stressed definitely excited done couple week also headed texas past weekend watch race thought pretty cool also helped move tv car since wanted start packing bit early,True,False,False,False,False,False,False,POSITIVE,0.9992902278900146,0.9992902278900146
RA4,"May 1, 2021, 06:21 PM",G,58,"we discussed his classes for this semester, and he said they went pretty well. unfortunately, they were a bit more work than he thought they should've been—but either than that they were fine. we also talked a bit about his relationship with his girlfriend and how that's been going.",No,"Academics, Friends/Family/Relationships",9,59,"we discussed his classes for this semester, and he said they went pretty well. unfortunately, they were a bit more work than he thought they should've been—but either than that they were fine. we also talked a bit about his relationship with his girlfriend and how that's been going.",class semester went pretty well unfortunately bit work thought either fine also bit relationship girlfriend going,True,False,True,False,False,False,False,POSITIVE,0.9877337217330933,0.9877337217330933
RA3,"May 1, 2021, 08:04 PM",H,59,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",1,60,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:04 PM",I,60,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships",2,61,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,False,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:05 PM",J,61,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",3,62,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:05 PM",K,62,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",4,63,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:06 PM",L,63,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",5,64,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:07 PM",M,64,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",6,65,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:07 PM",N,65,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",7,66,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:08 PM",O,66,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",8,67,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:09 PM",P,67,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",9,68,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA3,"May 1, 2021, 08:09 PM",Q,68,"talked about classes, finals, summer plans, future semester plans, housing",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Goal Setting/Career Planning",10,69,"talked about classes, finals, summer plans, future semester plans, housing",class final summer plan future semester plan housing,True,True,True,True,False,False,False,POSITIVE,0.7112694978713989,0.7112694978713989
RA2,"May 2, 2021, 08:12 PM",R,69,i asked how classes were going he said that they were going well and him and his roommate were doing fine.,No,"Academics, Friends/Family/Relationships",9,70,i asked how classes were going he said that they were going well and him and his roommate were doing fine.,class going going well roommate fine,True,False,True,False,False,False,False,POSITIVE,0.9233503341674805,0.9233503341674805
RA2,"May 2, 2021, 08:13 PM",S,70,we talked about st thomas the church that we both go to. also our classes and the exams that we have in the coming days.,No,"Academics, Campus/Community Involvement",10,71,we talked about st thomas the church that we both go to. also our classes and the exams that we have in the coming days.,st thomas church go also class exam coming day,True,True,False,False,False,False,False,POSITIVE,0.9835000038146973,0.9835000038146973
RA2,"May 2, 2021, 08:15 PM",T,71,we talked about his upcoming aero exams i told him about my experience in the classes and his other finals that he has coming up.,No,"Academics, Campus/Community Involvement",11,72,we talked about his upcoming aero exams i told him about my experience in the classes and his other finals that he has coming up.,upcoming aero exam experience class final ha coming,True,True,False,False,False,False,False,POSITIVE,0.9307781457901001,0.9307781457901001
RA2,"May 2, 2021, 08:16 PM",U,72,he was on his gym he had a lap pool reservation. we talked about swimming since we both swam in high school.,No,"Campus/Community Involvement, Other/Add Theme",12,73,he was on his gym he had a lap pool reservation. we talked about swimming since we both swam in high school.,gym lap pool reservation swimming since swam high school,False,True,False,False,False,False,False,POSITIVE,0.99187171459198,0.99187171459198
RA2,"May 2, 2021, 08:17 PM",V,73,"i asked how the end of the semester is going for him he is ready for summer break, he also had some questions about move out procedure.",No,Campus/Community Involvement,13,74,"i asked how the end of the semester is going for him he is ready for summer break, he also had some questions about move out procedure.",end semester going ready summer break also question move procedure,False,True,False,False,False,False,False,NEGATIVE,0.9963420033454895,0.003657996654510498
RA1,"May 2, 2021, 08:19 PM",W,74,we talked about plans after graduation.,No,"Friends/Family/Relationships, Goal Setting/Career Planning",3,75,we talked about plans after graduation.,plan graduation,False,False,True,True,False,False,False,POSITIVE,0.9935821294784546,0.9935821294784546
RA1,"May 2, 2021, 08:20 PM",X,75,we talked about the fraternity he is pledging.,No,Campus/Community Involvement,4,76,we talked about the fraternity he is pledging.,fraternity pledging,False,True,False,False,False,False,False,POSITIVE,0.95766282081604,0.95766282081604
RA2,"May 2, 2021, 08:21 PM",Y,76,"we talked about the weekend and what we had done, he said is was pretty laid back and relaxed. he said that classes were good aswell.",No,"Academics, Campus/Community Involvement",14,77,"we talked about the weekend and what we had done, he said is was pretty laid back and relaxed. he said that classes were good swell.",weekend done pretty laid back relaxed class good swell,True,True,False,False,False,False,False,POSITIVE,0.973589301109314,0.973589301109314
RA1,"May 2, 2021, 08:21 PM",Z,77,we talked about the frat he is pledging.,No,Campus/Community Involvement,5,78,we talked about the frac he is pledging.,frac pledging,False,True,False,False,False,False,False,POSITIVE,0.6214978098869324,0.6214978098869324
RA1,"May 2, 2021, 08:22 PM",A,78,we talked about classes and summer plans.,No,"Academics, Goal Setting/Career Planning",6,79,we talked about classes and summer plans.,class summer plan,True,False,False,True,False,False,False,POSITIVE,0.8412322402000427,0.8412322402000427
RA2,"May 2, 2021, 08:23 PM",B,79,we talked about the draft and the plays that the bears and the steelers were making. he said classes were fine for the most part.,No,"Academics, Other/Add Theme",15,80,we talked about the draft and the plays that the bears and the steelers were making. he said classes were fine for the most part.,draft play bear steelers making class fine part,True,False,False,False,False,False,False,POSITIVE,0.8703875541687012,0.8703875541687012
RA1,"May 2, 2021, 08:23 PM",C,80,we talked about the campus ministry he's involved in.,No,"Campus/Community Involvement, Friends/Family/Relationships",7,81,we talked about the campus ministry he's involved in.,campus ministry involved,False,True,True,False,False,False,False,POSITIVE,0.916737973690033,0.916737973690033
RA1,"May 2, 2021, 08:24 PM",D,81,we talked about classes.,No,Academics,8,82,we talked about classes.,class,True,False,False,False,False,False,False,POSITIVE,0.7518064975738525,0.7518064975738525
RA2,"May 2, 2021, 08:25 PM",E,82,we talked about classes and he said that he has a group project for his engineering classes that was coming to a close and was ready to be done with that.,No,Academics,16,83,we talked about classes and he said that he has a group project for his engineering classes that was coming to a close and was ready to be done with that.,class ha group project engineering class coming close ready done,True,False,False,False,False,False,False,NEGATIVE,0.9848618507385254,0.01513814926147461
